species,file,site,node,count,px_cm,include,base_x,base_y,tip_x,tip_y
appendiculata,LAPPEAC21013-2_7_7,LAPPEAC21013,7,7,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_1_15,LAPPEAC21013,1,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_2_15,LAPPEAC21013,2,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_3_15,LAPPEAC21013,3,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_4_15,LAPPEAC21013,4,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_5_15,LAPPEAC21013,5,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_6_15,LAPPEAC21013,6,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_7_15,LAPPEAC21013,7,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_8_15,LAPPEAC21013,8,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_9_15,LAPPEAC21013,9,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_10_15,LAPPEAC21013,10,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_11_15,LAPPEAC21013,11,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_12_15,LAPPEAC21013,12,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_13_15,LAPPEAC21013,13,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_14_15,LAPPEAC21013,14,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-3_15_15,LAPPEAC21013,15,15,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_1_9,LAPPEAC21013,1,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_2_9,LAPPEAC21013,2,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_3_9,LAPPEAC21013,3,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_4_9,LAPPEAC21013,4,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_5_9,LAPPEAC21013,5,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_6_9,LAPPEAC21013,6,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_7_9,LAPPEAC21013,7,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_8_9,LAPPEAC21013,8,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21013-4_9_9,LAPPEAC21013,9,9,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21017-1_1_5,LAPPEAC21017,1,5,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21017-1_2_5,LAPPEAC21017,2,5,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21017-1_3_5,LAPPEAC21017,3,5,get scale from original image (check Svea's redo of Jaret's work),,,,,
